date,time,open,high,low,close,volume
2020.06.25,12:00,9292.20000,9305.20000,9246.40000,9248.50000,3539
2020.06.25,13:00,9248.50000,9279.60000,9203.50000,9259.90000,3007
2020.06.25,14:00,9259.90000,9277.90000,9249.30000,9249.30000,719
2020.06.25,15:00,9249.30000,9254.30000,9162.30000,9173.40000,5259
2020.06.25,16:00,9173.40000,9227.50000,9164.90000,9181.60000,3326
2020.06.25,17:00,9181.60000,9256.70000,9181.60000,9249.30000,4694
2020.06.25,18:00,9244.50000,9244.50000,9214.70000,9223.80000,1863
2020.06.25,19:00,9223.80000,9277.90000,9209.10000,9277.80000,1533
2020.06.25,20:00,9277.80000,9278.60000,9263.00000,9266.00000,430
2020.06.25,21:00,9266.00000,9279.00000,9246.80000,9255.40000,2476
2020.06.25,22:00,9251.70000,9288.80000,9235.20000,9280.10000,4234
2020.06.25,23:00,9280.10000,9290.80000,9275.70000,9275.90000,322
2020.06.26,01:00,9296.60000,9305.00000,9217.60000,9251.30000,1844
2020.06.26,02:00,9251.30000,9252.60000,9238.30000,9242.30000,655
2020.06.26,03:00,9242.30000,9283.50000,9189.90000,9277.80000,2890
2020.06.26,04:00,9277.70000,9284.20000,9246.10000,9247.30000,1014
2020.06.26,05:00,9247.30000,9252.90000,9232.50000,9252.90000,2995
2020.06.26,06:00,9248.60000,9251.70000,9231.90000,9240.10000,1123
2020.06.26,07:00,9240.00000,9253.60000,9230.30000,9252.40000,2745
2020.06.26,08:00,9252.40000,9258.90000,9190.50000,9211.80000,2685
2020.06.26,09:00,9211.80000,9223.30000,9192.50000,9215.10000,1322
2020.06.26,10:00,9215.00000,9215.00000,9087.30000,9126.20000,4878
2020.06.26,11:00,9126.30000,9146.50000,9105.30000,9118.40000,5237
2020.06.26,12:00,9118.40000,9214.30000,9085.20000,9195.20000,2160
2020.06.26,13:00,9195.20000,9237.30000,9189.90000,9200.90000,1135
2020.06.26,14:00,9200.90000,9204.60000,9141.70000,9166.60000,1520
2020.06.26,15:00,9166.60000,9203.20000,9166.60000,9198.40000,2398
2020.06.26,16:00,9197.40000,9214.60000,9136.00000,9140.30000,2205
2020.06.26,17:00,9140.30000,9140.90000,9039.40000,9076.20000,4459
2020.06.26,18:00,9075.30000,9181.30000,9075.30000,9138.50000,2940
2020.06.26,19:00,9138.50000,9142.00000,9082.30000,9140.60000,1791
2020.06.26,20:00,9140.60000,9167.00000,9139.30000,9146.80000,560
2020.06.26,21:00,9146.70000,9166.20000,9134.10000,9134.20000,639
2020.06.26,22:00,9134.20000,9158.80000,9130.80000,9158.50000,1248
2020.06.26,23:00,9158.70000,9204.50000,9158.70000,9197.60000,1913
2020.06.29,01:00,9117.80000,9117.80000,9073.80000,9096.60000,2894
2020.06.29,02:00,9096.90000,9121.80000,9092.50000,9110.60000,1081
